Date,Name,Close,High,Low,Open,Volume
08/23/2001,Golden Ocean Group Ltd,83.8142470694,85.6627592426,83.4535617674,84.0396753832,"102,000",
08/24/2001,Golden Ocean Group Ltd,82.5067628494,84.7610459874,82.5067628494,84.4454463481,"63,500",
08/27/2001,Golden Ocean Group Ltd,81.650135257,83.3633904418,81.650135257,82.2813345356,"52,000",
08/28/2001,Golden Ocean Group Ltd,82.4165915239,82.957619477,81.6032461677,82.3715058611,"44,200",
08/29/2001,Golden Ocean Group Ltd,82.2362488729,83.2732191163,81.3796212804,83.2732191163,"248,300",
08/30/2001,Golden Ocean Group Ltd,81.3796212804,83.3633904418,81.1541929666,83.3633904418,"84,400",
08/31/2001,Golden Ocean Group Ltd,80.9287646528,83.1830477908,80.9287646528,82.0559062218,"132,600",
09/04/2001,Golden Ocean Group Ltd,81.6050495942,82.0559062218,80.7935076646,80.8385933273,"116,600",
09/05/2001,Golden Ocean Group Ltd,80.6131650135,82.2362488729,80.5680793508,82.2362488729,"130,200",
09/06/2001,Golden Ocean Group Ltd,80.3877366997,81.1478809739,80.0270513977,80.9287646528,"66,200",
09/07/2001,Golden Ocean Group Ltd,76.1045987376,80.9287646528,74.3913435528,80.342651037,"202,000",
09/10/2001,Golden Ocean Group Ltd,72.1370604148,76.1947700631,69.8827772768,76.1947700631,"216,500",
09/17/2001,Golden Ocean Group Ltd,74.8422001803,79.3507664563,71.73128945,72.3624887286,"224,500",
09/18/2001,Golden Ocean Group Ltd,76.6456266907,78.2146077547,73.6699729486,75.3381424707,"136,300",
09/19/2001,Golden Ocean Group Ltd,72.8133453562,78.6293958521,70.784490532,78.4941388638,"145,700",
09/20/2001,Golden Ocean Group Ltd,71.2353471596,74.4364292155,66.4562669071,74.3011722272,"240,200",
09/21/2001,Golden Ocean Group Ltd,65.915238954,76.6456266907,64.5626690712,66.8169522092,"161,600",
09/24/2001,Golden Ocean Group Ltd,76.4201983769,77.5473399459,72.6330027051,73.03877367,"161,800",
09/25/2001,Golden Ocean Group Ltd,77.9981965735,78.4490532011,75.65374211,75.65374211,"103,200",
09/26/2001,Golden Ocean Group Ltd,77.9981965735,81.3796212804,76.96122633,81.3796212804,"156,500",
09/27/2001,Golden Ocean Group Ltd,76.9161406673,77.7727682597,76.780883679,77.7276825969,"69,000",
09/28/2001,Golden Ocean Group Ltd,78.9449954914,79.5761947701,76.8710550045,77.0513976555,"88,800",
10/01/2001,Golden Ocean Group Ltd,78.6744815149,80.8385933273,78.2236248873,79.8016230839,"67,300",
10/02/2001,Golden Ocean Group Ltd,79.8467087466,80.9287646528,78.6744815149,80.0270513977,"53,800",
10/03/2001,Golden Ocean Group Ltd,80.9287646528,82.2813345356,77.6825969342,80.9287646528,"96,500",
10/04/2001,Golden Ocean Group Ltd,80.703336339,82.7321911632,80.1623083859,82.1911632101,"196,900",
10/05/2001,Golden Ocean Group Ltd,79.8467087466,82.777276826,79.8467087466,82.777276826,"113,500",
10/08/2001,Golden Ocean Group Ltd,81.1541929666,82.2813345356,80.0270513977,81.1091073039,"25,000",
10/09/2001,Golden Ocean Group Ltd,80.703336339,81.6050495942,80.4328223625,81.1992786294,"46,800",
10/10/2001,Golden Ocean Group Ltd,81.1541929666,82.0559062218,76.6456266907,80.7484220018,"75,700",
10/11/2001,Golden Ocean Group Ltd,81.1541929666,82.1460775473,80.0338097385,82.1460775473,"73,300",
10/12/2001,Golden Ocean Group Ltd,80.8385933273,81.9657348963,79.4860234445,81.9657348963,"40,400",
10/15/2001,Golden Ocean Group Ltd,82.5067628494,82.9125338142,77.5473399459,81.1992786294,"236,400",
