Date,Name,Close,High,Low,Open,Volume
08/06/2003,GameStop Corp Class A,1.6375,1.65625,1.60125,1.65625,"375,900",
08/07/2003,GameStop Corp Class A,1.6425,1.66375,1.61375,1.6375,"216,700",
08/08/2003,GameStop Corp Class A,1.59,1.66,1.59,1.6475,"380,600",
08/11/2003,GameStop Corp Class A,1.5825,1.61875,1.565,1.59125,"216,200",
08/12/2003,GameStop Corp Class A,1.59375,1.615,1.5825,1.5825,"172,700",
08/13/2003,GameStop Corp Class A,1.60625,1.61125,1.6,1.60625,"238,800",
08/14/2003,GameStop Corp Class A,1.6375,1.65375,1.59625,1.61875,"380,200",
08/15/2003,GameStop Corp Class A,1.65,1.65,1.63125,1.63875,"110,000",
08/18/2003,GameStop Corp Class A,1.625,1.6775,1.60625,1.65,"632,900",
08/19/2003,GameStop Corp Class A,1.79,1.80125,1.6875,1.6875,"1,239,200",
08/20/2003,GameStop Corp Class A,1.84625,1.87125,1.75,1.76875,"692,700",
08/21/2003,GameStop Corp Class A,1.955,1.97875,1.82625,1.8375,"929,100",
08/22/2003,GameStop Corp Class A,2.035,2.04875,2,2.00625,"579,500",
08/25/2003,GameStop Corp Class A,2.0625,2.0825,2.05,2.05,"450,800",
08/26/2003,GameStop Corp Class A,1.99375,2.05,1.97375,2.025,"535,300",
08/27/2003,GameStop Corp Class A,2.05,2.065,1.98125,1.98125,"219,200",
08/28/2003,GameStop Corp Class A,2.0625,2.09,2.03875,2.0625,"310,500",
08/29/2003,GameStop Corp Class A,2.07875,2.12375,2.07,2.07,"128,700",
09/02/2003,GameStop Corp Class A,2.1625,2.1725,2.09375,2.09375,"301,300",
09/03/2003,GameStop Corp Class A,2.22125,2.2325,2.175,2.175,"415,300",
09/04/2003,GameStop Corp Class A,2.2475,2.28125,2.1875,2.2,"407,400",
09/05/2003,GameStop Corp Class A,2.25,2.2625,2.2225,2.235,"482,200",
09/08/2003,GameStop Corp Class A,2.23,2.2625,2.15625,2.25,"441,200",
09/09/2003,GameStop Corp Class A,2.2125,2.26,2.2025,2.23,"257,100",
09/10/2003,GameStop Corp Class A,2.155,2.1975,2.13875,2.19375,"610,700",
09/11/2003,GameStop Corp Class A,2.12375,2.18375,2.1,2.15625,"284,900",
09/12/2003,GameStop Corp Class A,2.10125,2.12375,1.9625,2.00625,"1,118,000",
09/15/2003,GameStop Corp Class A,2.15,2.17375,2.10125,2.10125,"613,000",
09/16/2003,GameStop Corp Class A,2.10625,2.16125,2.1,2.16125,"356,600",
09/17/2003,GameStop Corp Class A,2.15875,2.1875,2.1125,2.1125,"193,000",
09/18/2003,GameStop Corp Class A,2.14375,2.17875,2.13375,2.14375,"246,400",
09/19/2003,GameStop Corp Class A,2.14375,2.16875,2.13875,2.14,"369,700",
09/22/2003,GameStop Corp Class A,2.0975,2.13125,2.0875,2.13125,"197,400",
09/23/2003,GameStop Corp Class A,2.14375,2.15,2.08125,2.0975,"361,400",
09/24/2003,GameStop Corp Class A,2.0475,2.15,2.04375,2.13375,"237,200",
09/25/2003,GameStop Corp Class A,2,2.1025,2,2.0475,"322,700",
09/26/2003,GameStop Corp Class A,2.03125,2.05,1.9875,2.0125,"369,300",
09/29/2003,GameStop Corp Class A,2.0375,2.04,1.95625,2.03125,"213,900",
09/30/2003,GameStop Corp Class A,1.9875,2.05625,1.96875,2.05,"166,100",
10/01/2003,GameStop Corp Class A,2.03125,2.08125,1.9875,1.9875,"253,900",
10/02/2003,GameStop Corp Class A,2.0725,2.075,2.025,2.025,"161,500",
10/03/2003,GameStop Corp Class A,2.085,2.12375,2.0625,2.085,"177,400",
10/06/2003,GameStop Corp Class A,2.15625,2.15625,2.06,2.0975,"107,800",
10/07/2003,GameStop Corp Class A,2.15625,2.1675,2.1075,2.125,"139,000",
10/08/2003,GameStop Corp Class A,2.135,2.185,2.1325,2.15625,"137,000",
10/09/2003,GameStop Corp Class A,2.1875,2.2075,2.15,2.15,"200,600",
10/10/2003,GameStop Corp Class A,2.1775,2.19875,2.1375,2.19375,"184,900",
10/13/2003,GameStop Corp Class A,2.30375,2.33125,2.1625,2.175,"598,700",
10/14/2003,GameStop Corp Class A,2.35625,2.35625,2.2775,2.29375,"310,600",
10/15/2003,GameStop Corp Class A,2.365,2.38125,2.35375,2.375,"439,900",
10/16/2003,GameStop Corp Class A,2.34,2.3625,2.3125,2.3625,"252,500",
10/17/2003,GameStop Corp Class A,2.28125,2.34375,2.275,2.3125,"168,000",
10/20/2003,GameStop Corp Class A,2.25625,2.30625,2.235,2.275,"332,300",
10/21/2003,GameStop Corp Class A,2.25125,2.27,2.24125,2.25625,"375,900",
10/22/2003,GameStop Corp Class A,2.19375,2.25,2.175,2.24875,"384,300",
10/23/2003,GameStop Corp Class A,2.12625,2.201875,2.12,2.15,"443,000",
10/24/2003,GameStop Corp Class A,2.00875,2.10625,1.96125,2.10625,"730,500",
10/27/2003,GameStop Corp Class A,2.085,2.095,2.02,2.02,"224,700",
10/28/2003,GameStop Corp Class A,2.16875,2.22,2.10625,2.11,"253,500",
10/29/2003,GameStop Corp Class A,2.125,2.15625,2.10125,2.15625,"124,900",
10/30/2003,GameStop Corp Class A,2.125,2.1875,2.125,2.15625,"247,200",
10/31/2003,GameStop Corp Class A,2.1025,2.15625,2.0875,2.12625,"262,100",
11/03/2003,GameStop Corp Class A,1.9525,2.15,1.925,2.0075,"1,092,130",
11/04/2003,GameStop Corp Class A,1.98375,2.01375,1.9825,1.995,"639,065",
11/05/2003,GameStop Corp Class A,2.0910375,2.10625,1.99625,2,"570,900",
11/06/2003,GameStop Corp Class A,2.1125,2.2,2.05,2.0875,"787,400",
11/07/2003,GameStop Corp Class A,2.1,2.14875,2.1,2.11875,"235,000",
11/10/2003,GameStop Corp Class A,2.08125,2.10125,2.0625,2.0975,"319,200",
11/11/2003,GameStop Corp Class A,2.1125,2.1125,2.065,2.065,"402,800",
